Product Name,Original Price,Discounted Price,Image Url
UrbanMark Men Solid Half Sleeves Regular Fit Polo T Shirt with Contrast Tipping Collar-Navy,Rs. 999,Rs.  449,
AUSTIVO - Grey Melange Cotton Regular Fit Men's Polo T Shirt ( Pack of 1 ),"Rs. 1,830",Rs.  469,
UrbanMark Men Regular Fit Round Neck Half Sleeves Graphic Print T Shirt-Black,Rs. 799,Rs.  349,
UrbanMark Men Half Sleeve Slim Fit Striped Polo T Shirt-Olive & Black,Rs. 999,Rs.  449,
UrbanMark Men Regular Fit Round Neck Half Sleeves Graphic Print T Shirt-Black,Rs. 799,Rs.  349,https://n4.sdlcdn.com/imgs/k/l/q/230X258_sharpened/UrbanMark-Black-Cotton-Blend-Regular-SDL482784905-1-17fbc.jpg
NOW OR NEVER - Blue Cotton Blend Regular Fit Men's T-Shirt ( Pack of 2 ),"Rs. 1,998",Rs.  625,https://n3.sdlcdn.com/imgs/k/e/t/230X258_sharpened/NOW-OR-NEVER-Cotton-Blend-SDL557339914-1-c1f99.jpg
The Dry State - Multicolor Cotton Regular Fit Couple T-Shirt,"Rs. 1,999",Rs.  675,https://n2.sdlcdn.com/imgs/k/j/n/230X258_sharpened/The-Dry-State-Multicolor-Cotton-SDL500852370-1-9d6aa.jpg
AUSK - Peach Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),"Rs. 1,499",Rs.  379,https://n2.sdlcdn.com/imgs/k/e/1/230X258_sharpened/AUSK-Cotton-Blend-Regular-Fit-SDL054852055-1-8bab5.jpg
UrbanMark Men Half Sleeves Regular Fit All Over Printed Polo T Shirt-Melange Grey,Rs. 999,Rs.  449,https://n3.sdlcdn.com/imgs/k/l/t/230X258_sharpened/UrbanMark-Melange-Grey-Cotton-Blend-SDL507032712-1-f3bc0.jpg
BULLMER - Blue Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),"Rs. 1,999",Rs.  419,https://n3.sdlcdn.com/imgs/k/k/1/230X258_sharpened/BULLMER-Blue-Cotton-Blend-Regular-SDL226082478-1-40d95.jpg
AUSTIN WOOD - Navy Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),"Rs. 1,499",Rs.  469,https://n4.sdlcdn.com/imgs/k/h/p/230X258_sharpened/AUSTIN-WOOD-Navy-Cotton-Blend-SDL463718740-1-b5674.jpg
UrbanMark Men Regular Fit Round Neck Half Sleeves Text Print T Shirt-Blue,Rs. 699,Rs.  349,https://n1.sdlcdn.com/imgs/k/l/u/230X258_sharpened/UrbanMark-Blue-Cotton-Blend-Regular-SDL360995441-1-ae135.jpg
UrbanMark Men Regular Fit Round Neck Half Sleeves Text T Shirt-Blue,Rs. 799,Rs.  349,https://n3.sdlcdn.com/imgs/k/l/u/230X258_sharpened/UrbanMark-Blue-Cotton-Blend-Regular-SDL210649572-1-19e6a.jpg
BULLMER - Navy Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),Rs. 999,Rs.  419,https://n1.sdlcdn.com/imgs/k/h/p/230X258_sharpened/BULLMER-Navy-Cotton-Blend-Regular-SDL153327881-1-55810.jpg
Bewakoof - White Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),"Rs. 1,299",Rs.  339,https://n4.sdlcdn.com/imgs/k/l/u/230X258_sharpened/Bewakoof-White-Cotton-Regular-Fit-SDL970378237-1-7ee60.jpg
Wild West - Black Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),"Rs. 1,799",Rs.  419,https://n2.sdlcdn.com/imgs/k/i/x/230X258_sharpened/Wild-West-Cotton-Blend-Regular-SDL099028566-1-df842.jpg
UrbanMark Men Solid Half Sleeves Regular Fit Polo T Shirt with Contrast Tipping Collar-Blue,Rs. 999,Rs.  449,https://n1.sdlcdn.com/imgs/k/l/n/230X258_sharpened/UrbanMark-Blue-Cotton-Blend-Regular-SDL034847918-1-02f9d.jpg
UrbanMark Men 100% Cotton Regular Fit Round Neck Half Sleeves Striped T Shirt-Navy,Rs. 999,Rs.  449,https://n1.sdlcdn.com/imgs/k/k/7/230X258_sharpened/UrbanMark-Navy-Cotton-Blend-Regular-SDL785864755-1-d5ac3.jpg
UrbanMark Men Solid Half Sleeves Regular Fit Polo T Shirt with Contrast Tipping Collar-Red,Rs. 999,Rs.  449,https://n2.sdlcdn.com/imgs/k/l/q/230X258_sharpened/UrbanMark-Red-Cotton-Blend-Regular-SDL647009965-1-30047.jpg
